School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
Queenspark School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Queenstown School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Queenstown-Lakes
Raetihi Primary School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Ruapehu
Raglan Area School,Composite,Composite (Year 1-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Rahotu School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Rai Valley Area School,Composite,Composite (Year 1-15),State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Marlborough,Marlborough
Rakaia School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Ashburton
Ramanui School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Ramarama School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Randwick Park School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Manurewa
Randwick School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Rangeview Intermediate,Primary,Intermediate,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Rangi Ruru Girls' School,Secondary,Secondary (Year 7-15),Private: Fully Reg.,10,Single Sex-Girls,Religious Affiliation,Presbyterian,School with Boarding Facilities,Not a Kura School,Canterbury,Christchurch
Rangikura School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Porirua
Rangiora Borough School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Rangiora High School,Secondary,Secondary (Year 9-15),State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Rangiora New Life School,Composite,Composite (Year 1-15),State: Integrated,9,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Rangitaiki School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Taupo
Rangitikei College,Secondary,Secondary (Year 9-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Rangitikei
Rangitoto College,Secondary,Secondary (Year 9-15),State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
Rangitoto School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waitomo
Rangiuru School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
Ranui School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Ranzau School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Rapaura School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Marlborough,Marlborough
Raphael House Rudolf Steiner Area School,Composite,Composite (Year 1-15),State: Integrated,10,Co-Ed,Organisational Affiliation,Rudolf Steiner,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Raroa Normal Intermediate,Primary,Intermediate,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Normal School,Not a Kura School,Wellington,Wellington
Rata Street School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Ratapiko School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Rathkeale College,Secondary,Secondary (Year 9-15),State: Integrated,9,Single Sex-Boys,Religious Affiliation,Anglican,School with Boarding Facilities,Not a Kura School,Wellington,Masterton
Raumati Beach School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Kapiti Coast
Raumati South School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Kapiti Coast
Raureka School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Raurimu Avenue School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Ravensbourne School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Rawene School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Rawhiti School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Rawhitiroa School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Red Beach School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Hibiscus and Bays
Redcliffs School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Redhill School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Papakura
Redoubt North School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Otara-Papatoetoe
Redwood School (Christchurch),Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Redwood School (Tawa),Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Redwoodtown School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Marlborough,Marlborough
Reefton Area School,Composite,Composite (Year 1-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Buller
Reignier Catholic School,Primary,Contributing,State: Integrated,9,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Remarkables Primary School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Queenstown-Lakes
Remuera Intermediate,Primary,Intermediate,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Orakei
Remuera School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Orakei
Renwick School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Marlborough,Marlborough
Reporoa College,Secondary,Secondary (Year 7-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Rotorua
Reporoa School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Rotorua
Rere School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Gisborne,Gisborne
Reremoana Primary School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Manurewa
Rewa Rewa School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Rhode Street School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Riccarton High School,Secondary,Secondary (Year 9-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Riccarton School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Richmond Road School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Waitemata
Richmond School (Napier),Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Richmond School (Nelson),Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Richmond View School,Composite,Composite (Year 1-15),State: Integrated,5,Co-Ed,Religious Affiliation,Pentecostal,Not Applicable,Not a Kura School,Marlborough,Marlborough
Ridgeview School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
Ridgway School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Rimu School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Rise UP Academy,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Auckland,Auckland: Mangere-Otahuhu
Riverdale School (Gisborne),Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Gisborne,Gisborne
Riverdale School (P North),Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Riverhead School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Riverhills School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Riverina School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Riverlands School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Marlborough,Marlborough
Riversdale School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Riverton School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Riverview School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Riwaka School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Robertson Road School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Mangere-Otahuhu
Rocket School,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Rodney College,Secondary,Secondary (Year 9-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Rolleston Christian School,Primary,Full Primary,State: Integrated,9,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Canterbury,Selwyn
Rolleston College,Secondary,Secondary (Year 9-15),State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Selwyn
Rolleston School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Selwyn
Romahapa School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Roncalli College,Secondary,Secondary (Year 9-15),State: Integrated,7,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Canterbury,Timaru
Rongomai School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Otara-Papatoetoe
Rongotai College,Secondary,Secondary (Year 9-15),State: Not integrated,6,Single Sex-Boys,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Rongotea School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Manawatu
Roscommon School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Bilingual Year 7-8 School,Not a Kura School,Auckland,Auckland: Manurewa
Rosebank School (Auckland),Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Rosebank School (Balclutha),Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Rosehill College,Secondary,Secondary (Year 9-15),State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Papakura
Rosehill Intermediate,Primary,Intermediate,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Papakura
Rosehill School,Special,Special School,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Sch. for Intellectual Impairments,Not a Kura School,Auckland,Auckland: Papakura
Roseneath School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Roslyn School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Rosmini College,Secondary,Secondary (Year 7-15),State: Integrated,9,Single Sex-Boys,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Ross Intermediate,Primary,Intermediate,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Ross School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Westland
Rotherham School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Hurunui
Roto-O-Rangi School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Rotokauri School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Rotokawa School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Rotorua
Rotorua Boys' High School,Secondary,Secondary (Year 9-15),State: Not integrated,3,Single Sex-Boys,No Affiliation,Not Applicable,School with Boarding Facilities,Not a Kura School,Bay of Plenty,Rotorua
Rotorua Girls' High School,Secondary,Secondary (Year 9-15),State: Not integrated,3,Single Sex-Girls,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Rotorua
